No,Nama Barang,Kategori,Harga Jual,Harga Beli
1,Bor Listrik,Peralatan,450000,GRR
2,Gerinda,Peralatan,350000,250000
3,Mesin Las,Peralatan,1200000,950000
4,Kompresor,Peralatan,2500000,2000000
5,Obeng Set,Peralatan,150000,100000
6,Palu,Bangunan,80000,50000
7,Cat Tembok,Bangunan,250000,180000
8,Kuasa Cat,Bangunan,50000,30000
9,Semprotan Angin,Peralatan,175000,130000
10,Tang Kombinasi,Peralatan,100000,70000
11,Baut 10mm,Bangunan,1500,800
12,Amplas,Bangunan,5000,3000
13,Pipa PVC 1inch,Bangunan,25000,18000
14,Lem PVC,Bangunan,12000,8000
15,Lem Besi,Peralatan,35000,25000
16,Kunci Inggris,Peralatan,75000,55000
17,Kunci Ring Set,Peralatan,250000,180000
18,Alat Las Mini,Peralatan,800000,600000
19,Siku Besi,Bangunan,40000,25000
20,Sekop,Bangunan,100000,70000
21,Cangkul,Bangunan,120000,80000
22,Gerobak Dorong,Bangunan,750000,550000
23,Selang Kompresor,Peralatan,95000,70000
24,Meteran Gulung,Peralatan,45000,30000
25,Masker Las,Peralatan,60000,40000
